NXN	ENSG00000167693	219489_s_at
MAK	ENSG00000111837	220302_at
RAP1GAP	ENSG00000076864	210618_at
POPDC2	ENSG00000121577	219647_at
STRN	ENSG00000115808	205520_at
CTNNB1	ENSG00000168036	201533_at
ULK4	ENSG00000168038	220958_at
KLK1	ENSG00000167748	216699_s_at
ZNF32	ENSG00000169740	209538_at
HIST1H1E	ENSG00000168298	208553_at
CBLL1	ENSG00000105879	220018_at
CHRNA2	ENSG00000120903	207868_at
WDR91	ENSG00000105875	218971_s_at
RNF44	ENSG00000146083	203286_at
AOAH	ENSG00000136250	205639_at
MRPL49	ENSG00000149792	201717_at
ERAL1	ENSG00000132591	212087_s_at
PVRL3	ENSG00000177707	213325_at
PRF1	ENSG00000180644	214617_at
TDRD7	ENSG00000196116	213361_at
GTF2F2	ENSG00000188342	209595_at
WDR70	ENSG00000082068	219193_at
NAV2	ENSG00000166833	218330_s_at
KIF26B	ENSG00000162849	220002_at
HNRNPF	ENSG00000169813	201376_s_at
EIF2B5	ENSG00000145191	212351_at
MAPK6	ENSG00000069956	207121_s_at
ECE2	ENSG00000145194	206728_at
EIF4ENIF1	ENSG00000184708	218626_at
TRIM46	ENSG00000163462	220909_at
CCT3	ENSG00000163468	200910_at
PMAIP1	ENSG00000141682	204286_s_at
SNX29	ENSG00000048471	215500_at
APLP1	ENSG00000105290	209462_at
MAGED1	ENSG00000179222	209014_at
PGLYRP4	ENSG00000163218	220944_at
POLR3E	ENSG00000058600	218016_s_at
DIRAS3	ENSG00000162595	215506_s_at
VAMP8	ENSG00000118640	202546_at
VPS35	ENSG00000069329	217727_x_at
EFNB1	ENSG00000090776	202711_at
ACTR1B	ENSG00000115073	202135_s_at
EMP2	ENSG00000213853	204975_at
PLA2G2F	ENSG00000158786	221416_at
AKAP8	ENSG00000105127	203847_s_at
EXOSC5	ENSG00000077348	218481_at
RAB40AL	ENSG00000102128	215782_at
FOXD2	ENSG00000186564	207653_at
GPATCH8	ENSG00000186566	212487_at
RIMBP2	ENSG00000060709	214811_at
SNAP91	ENSG00000065609	204953_at
MACROD1	ENSG00000133315	219188_s_at
ATAT1	ENSG00000137343	218874_s_at
PSMC6	ENSG00000100519	201699_at
LRP5	ENSG00000162337	209468_at
ZBTB11	ENSG00000066422	204847_at
PNMAL1	ENSG00000182013	218824_at
SHOC2	ENSG00000108061	202777_at
TMEM57	ENSG00000204178	218562_s_at
KIF18A	ENSG00000121621	221258_s_at
MAML1	ENSG00000161021	202360_at
ARFGAP2	ENSG00000149182	211975_at
LTA	ENSG00000226979	206975_at
CRIP1	ENSG00000257341	205081_at
GCGR	ENSG00000215644	210565_at
APBB1IP	ENSG00000077420	219994_at
LZTR1	ENSG00000099949	203412_at
TBL1XR1	ENSG00000177565	221428_s_at
RAB11FIP2	ENSG00000107560	203883_s_at
CCRN4L	ENSG00000151014	220671_at
CRKL	ENSG00000099942	206184_at
MYL12A	ENSG00000101608	201319_at
MYOM1	ENSG00000101605	205610_at
ZNF778	ENSG00000170100	220730_at
HIST1H3C	ENSG00000196532	208577_at
TLR6	ENSG00000174130	207446_at
CNOT7	ENSG00000198791	218250_s_at
DNM3	ENSG00000197959	209839_at
SCAMP5	ENSG00000198794	212699_at
ZNF81	ENSG00000197779	215901_at
LRIG2	ENSG00000198799	205953_at
S100A6	ENSG00000197956	217728_at
MCMBP	ENSG00000197771	217905_at
SLC35F5	ENSG00000115084	220123_at
TFB2M	ENSG00000162851	218605_at
ATG16L1	ENSG00000085978	220521_s_at
SRP14	ENSG00000140319	200007_at
KDM5D	ENSG00000012817	206700_s_at
CHKB	ENSG00000100288	204193_at
EFNA1	ENSG00000169242	202023_at
SLC50A1	ENSG00000169241	219125_s_at
ESF1	ENSG00000089048	218859_s_at
P2RX7	ENSG00000089041	207091_at
EIF4A3	ENSG00000141543	201303_at
ARHGDIB	ENSG00000111348	201288_at
MOCS3	ENSG00000124217	206141_at
FHIT	ENSG00000189283	206492_at
RASAL1	ENSG00000111344	219752_at
RPL26	ENSG00000161970	222229_x_at
PPP1R1A	ENSG00000135447	205478_at
SLC1A3	ENSG00000079215	202800_at
SMARCD3	ENSG00000082014	204099_at
RBBP5	ENSG00000117222	205169_at
INPP5J	ENSG00000185133	213651_at
HIST1H2BL	ENSG00000185130	207611_at
ACSL4	ENSG00000068366	202422_s_at
GLCE	ENSG00000138604	213552_at
NRIP3	ENSG00000175352	219557_s_at
EMD	ENSG00000102119	209477_at
GRIN2D	ENSG00000105464	207036_x_at
SYNGR4	ENSG00000105467	206719_at
ZFHX2	ENSG00000136367	207699_at
RSF1	ENSG00000048649	218166_s_at
HMGN3	ENSG00000118418	209377_s_at
MRPS18C	ENSG00000163319	220103_s_at
CASP8AP2	ENSG00000118412	222201_s_at
HK3	ENSG00000160883	205936_s_at
IER2	ENSG00000160888	202081_at
RPS27	ENSG00000177954	200741_s_at
SYT2	ENSG00000143858	214903_at
BET1L	ENSG00000177951	220470_at
TSC22D1	ENSG00000102804	215111_s_at
LATS1	ENSG00000131023	219813_at
SLC29A3	ENSG00000198246	219344_at
CD180	ENSG00000134061	206206_at
PPFIA4	ENSG00000143847	214978_s_at
HTR2B	ENSG00000135914	206638_at
LILRB5	ENSG00000105609	206856_at
IRF1	ENSG00000125347	202531_at
TAF10	ENSG00000166337	200055_at
SERPINE2	ENSG00000135919	212190_at
CRLF3	ENSG00000176390	205474_at
RNPEP	ENSG00000176393	208270_s_at
PMS1	ENSG00000064933	213677_s_at
XPA	ENSG00000136936	205672_at
PSMB7	ENSG00000136930	200786_at
NR5A1	ENSG00000136931	210333_at
CAMK1	ENSG00000134072	204392_at
HSF4	ENSG00000102878	210977_s_at
DDX5	ENSG00000108654	200033_at
SLC7A2	ENSG00000003989	207626_s_at
NLGN3	ENSG00000196338	219726_at
RPS15	ENSG00000115268	200819_s_at
RANBP17	ENSG00000204764	219661_at
MAST3	ENSG00000099308	213045_at
MTR	ENSG00000116984	203774_at
RNF208	ENSG00000212864	221273_s_at
TMEM143	ENSG00000161558	219589_s_at
ADAMTS6	ENSG00000049192	220866_at
RAD51C	ENSG00000108384	209849_s_at
CHGA	ENSG00000100604	204697_s_at
ASPA	ENSG00000108381	206030_at
SDCCAG3	ENSG00000165689	218427_at
PIGL	ENSG00000108474	205873_at
GALK1	ENSG00000108479	204374_s_at
SACS	ENSG00000151835	213262_at
BANK1	ENSG00000153064	219667_s_at
TEP1	ENSG00000129566	205727_at
SIX5	ENSG00000177045	217661_x_at
TOB1	ENSG00000141232	202704_at
CXCL9	ENSG00000138755	203915_at
FRAS1	ENSG00000138759	220910_at
TUBA4A	ENSG00000127824	212242_at
TMEM159	ENSG00000011638	213272_s_at
ADARB2	ENSG00000185736	220648_at
CCT4	ENSG00000115484	200877_at
REEP5	ENSG00000129625	208873_s_at
SUPT5H	ENSG00000196235	201480_s_at
XPNPEP3	ENSG00000196236	220020_at
PCBP4	ENSG00000090097	209361_s_at
SIPA1	ENSG00000213445	204164_at
ARID3A	ENSG00000116017	205865_at
PDP1	ENSG00000164951	218273_s_at
TUBA4B	ENSG00000243910	207490_at
RAB5B	ENSG00000111540	201276_at
OGFRL1	ENSG00000119900	219582_at
FAM64A	ENSG00000129195	221591_s_at
KLC2	ENSG00000174996	218906_x_at
PDSS1	ENSG00000148459	220865_s_at
SLC30A4	ENSG00000104154	207362_at
COL9A1	ENSG00000112280	222008_at
MED23	ENSG00000112282	218846_at
EIF3E	ENSG00000104408	208697_s_at
MZB1	ENSG00000170476	221286_s_at
CREB3	ENSG00000107175	209432_s_at
KIAA0922	ENSG00000121210	209760_at
ABCB1	ENSG00000085563	209993_at
