UBE2C	ENSG00000175063	202954_at
RBKS	ENSG00000171174	219222_at
SLC2A6	ENSG00000160326	220091_at
DAXX	ENSG00000204209	201763_s_at
GNAS	ENSG00000087460	200981_x_at
H2AFV	ENSG00000105968	212206_s_at
ABHD6	ENSG00000163686	221552_at
PGM1	ENSG00000079739	201968_s_at
CCNB1	ENSG00000134057	214710_s_at
S100A4	ENSG00000196154	203186_s_at
NOTCH1	ENSG00000148400	218902_at
TERT	ENSG00000164362	207199_at
BNIP3	ENSG00000176171	201849_at
ITGB1BP1	ENSG00000119185	203336_s_at
ID2	ENSG00000115738	201565_s_at
POLR1C	ENSG00000171453	207515_s_at
TSPAN4	ENSG00000214063	209263_x_at
NSDHL	ENSG00000147383	215093_at
FAH	ENSG00000103876	202862_at
TRIM2	ENSG00000109654	215945_s_at
PAK6	ENSG00000137843	219461_at
IKBKB	ENSG00000104365	209341_s_at
ACOT9	ENSG00000123130	221641_s_at
FBXO7	ENSG00000100225	201178_at
FYN	ENSG00000010810	210105_s_at
TRAP1	ENSG00000126602	201391_at
MBNL1	ENSG00000152601	201152_s_at
YTHDF1	ENSG00000149658	221741_s_at
DFFB	ENSG00000169598	206752_s_at
BAX	ENSG00000087088	208478_s_at
HOOK2	ENSG00000095066	218780_at
ABCF3	ENSG00000161204	202394_s_at
SPRED2	ENSG00000198369	212458_at
ENOPH1	ENSG00000145293	217956_s_at
MYLK	ENSG00000065534	202555_s_at
PRKACA	ENSG00000072062	202801_at
HPRT1	ENSG00000165704	202854_at
NUDT9	ENSG00000170502	218375_at
LSR	ENSG00000105699	208190_s_at
MALT1	ENSG00000172175	208309_s_at
PIN1	ENSG00000127445	202927_at
PPP2R5A	ENSG00000066027	202187_s_at
ZMIZ1	ENSG00000108175	212124_at
CETN3	ENSG00000153140	209662_at
DUSP22	ENSG00000112679	218845_at
TRIB1	ENSG00000173334	202241_at
GTPBP8	ENSG00000163607	221046_s_at
LYPLA1	ENSG00000120992	203007_x_at
PIP4K2B	ENSG00000141720	201080_at
ENOSF1	ENSG00000132199	204143_s_at
USP14	ENSG00000101557	201671_x_at
CDC25B	ENSG00000101224	201853_s_at
SCARB1	ENSG00000073060	201819_at
PYGL	ENSG00000100504	202990_at
CCNA2	ENSG00000145386	203418_at
IL13RA1	ENSG00000131724	201887_at
PSME2	ENSG00000100911	201762_s_at
SPR	ENSG00000116096	203458_at
LRPAP1	ENSG00000163956	201186_at
PIK3C3	ENSG00000078142	204297_at
EML3	ENSG00000149499	203442_x_at
SERPINE1	ENSG00000106366	202627_s_at
GNAI1	ENSG00000127955	209576_at
SMAD3	ENSG00000166949	205398_s_at
TGFBR2	ENSG00000163513	207334_s_at
PFKL	ENSG00000141959	201102_s_at
PLEKHJ1	ENSG00000104886	218290_at
ACAA1	ENSG00000060971	214274_s_at
RUVBL1	ENSG00000175792	201614_s_at
ABCC5	ENSG00000114770	209380_s_at
DSG2	ENSG00000046604	217901_at
SLC25A13	ENSG00000004864	203775_at
SUPV3L1	ENSG00000156502	212894_at
MAPKAPK5	ENSG00000089022	212871_at
SCYL3	ENSG00000000457	205607_s_at
NFKBIB	ENSG00000104825	214062_x_at
SLC25A46	ENSG00000164209	212833_at
GNAI2	ENSG00000114353	201040_at
DNAJC15	ENSG00000120675	218435_at
TRIB3	ENSG00000101255	218145_at
RFNG	ENSG00000169733	212968_at
TSEN2	ENSG00000154743	219581_at
KIF5C	ENSG00000168280	203130_s_at
TXLNA	ENSG00000084652	212300_at
GDPD5	ENSG00000158555	213343_s_at
RAI14	ENSG00000039560	202052_s_at
EIF5	ENSG00000100664	208708_x_at
PSMF1	ENSG00000125818	201052_s_at
KIAA0907	ENSG00000132680	202220_at
CCNA1	ENSG00000133101	205899_at
DFFA	ENSG00000160049	203277_at
PCBD1	ENSG00000166228	203557_s_at
CGRRF1	ENSG00000100532	204605_at
MAP4K4	ENSG00000071054	206571_s_at
TARBP1	ENSG00000059588	202813_at
IL4R	ENSG00000077238	203233_at
ICAM3	ENSG00000076662	204949_at
MTA1	ENSG00000182979	211783_s_at
PPOX	ENSG00000143224	204788_s_at
RAD51C	ENSG00000108384	206066_s_at
MCM3	ENSG00000112118	201555_at
SDHB	ENSG00000117118	202675_at
LIG1	ENSG00000105486	202726_at
TERF2IP	ENSG00000166848	201174_s_at
CDC42	ENSG00000070831	208728_s_at
CD58	ENSG00000116815	205173_x_at
SOX4	ENSG00000124766	201416_at
TRAPPC3	ENSG00000054116	203512_at
NUP93	ENSG00000102900	202188_at
IKZF1	ENSG00000185811	205039_s_at
RRP8	ENSG00000132275	203171_s_at
VAT1	ENSG00000108828	208626_s_at
PLP2	ENSG00000102007	201136_at
RRP1B	ENSG00000160208	212846_at
DNM1	ENSG00000106976	215116_s_at
LAMA3	ENSG00000053747	203726_s_at
CCNF	ENSG00000162063	204826_at
CCDC86	ENSG00000110104	203119_at
ERBB2	ENSG00000141736	216836_s_at
CHERP	ENSG00000085872	202230_s_at
APOE	ENSG00000130203	203381_s_at
TMEM2	ENSG00000135048	218113_at
OXSR1	ENSG00000172939	202696_at
PSMB8	ENSG00000204264	209040_s_at
FEZ2	ENSG00000171055	215000_s_at
AURKA	ENSG00000087586	204092_s_at
KIF20A	ENSG00000112984	218755_at
DUSP14	ENSG00000161326	203367_at
HES1	ENSG00000114315	203395_s_at
NPDC1	ENSG00000107281	218086_at
CSNK1E	ENSG00000213923	202332_at
DNAJA3	ENSG00000103423	205963_s_at
RFC2	ENSG00000049541	203696_s_at
MSH6	ENSG00000116062	202911_at
FAM63A	ENSG00000143409	221856_s_at
BDH1	ENSG00000161267	211715_s_at
HYOU1	ENSG00000149428	200825_s_at
G3BP1	ENSG00000145907	201503_at
TESK1	ENSG00000107140	204106_at
PPIC	ENSG00000168938	204517_at
CCND1	ENSG00000110092	208711_s_at
SKP1	ENSG00000113558	200711_s_at
ZNF274	ENSG00000171606	204937_s_at
STAP2	ENSG00000178078	221610_s_at
TCTN1	ENSG00000204852	218584_at
JUN	ENSG00000177606	201466_s_at
TM9SF2	ENSG00000125304	201078_at
ELAVL1	ENSG00000066044	201727_s_at
BCL7B	ENSG00000106635	202518_at
EGFR	ENSG00000146648	201984_s_at
SOCS2	ENSG00000120833	203373_at
CBLB	ENSG00000114423	209682_at
SACM1L	ENSG00000211456	202797_at
KDM5A	ENSG00000073614	202040_s_at
CDC25A	ENSG00000164045	204695_at
RAC2	ENSG00000128340	207419_s_at
FKBP14	ENSG00000106080	219390_at
PHKA1	ENSG00000067177	205450_at
GMNN	ENSG00000112312	218350_s_at
CHIC2	ENSG00000109220	219492_at
CAT	ENSG00000121691	201432_at
PTK2B	ENSG00000120899	203110_at
PLSCR1	ENSG00000188313	202446_s_at
CYCS	ENSG00000172115	208905_at
PTPLAD1	ENSG00000074696	217777_s_at
JMJD6	ENSG00000070495	212723_at
HERPUD1	ENSG00000051108	217168_s_at
CASP10	ENSG00000003400	205467_at
S100A13	ENSG00000189171	202598_at
BLVRA	ENSG00000106605	211729_x_at
AKAP8	ENSG00000105127	203848_at
NOLC1	ENSG00000166197	205895_s_at
COL1A1	ENSG00000108821	202310_s_at
NUP133	ENSG00000069248	202184_s_at
TEX10	ENSG00000136891	218104_at
PWP1	ENSG00000136045	201608_s_at
VPS28	ENSG00000160948	218679_s_at
PTPRF	ENSG00000142949	200636_s_at
GNA15	ENSG00000060558	205349_at
ADI1	ENSG00000182551	217761_at
CNPY3	ENSG00000137161	217931_at
HSPB1	ENSG00000106211	201841_s_at
SSBP2	ENSG00000145687	203787_at
SMARCC1	ENSG00000173473	201074_at
INPP1	ENSG00000151689	202794_at
NUP85	ENSG00000125450	218014_at
CDK19	ENSG00000155111	212899_at
ACBD3	ENSG00000182827	202324_s_at
BUB1B	ENSG00000156970	203755_at
RBM34	ENSG00000188739	212591_at
CD320	ENSG00000167775	218529_at
TIPARP	ENSG00000163659	212665_at
FPGS	ENSG00000136877	202945_at
YME1L1	ENSG00000136758	201351_s_at
CHMP6	ENSG00000176108	218743_at
ATP6V0B	ENSG00000117410	200078_s_at
LGMN	ENSG00000100600	201212_at
MSRA	ENSG00000175806	219281_at
TPM1	ENSG00000140416	210986_s_at
CCNH	ENSG00000134480	204093_at
HMOX1	ENSG00000100292	203665_at
TMEM110	ENSG00000213533	213851_at
MAPK1IP1L	ENSG00000168175	212644_s_at
ICMT	ENSG00000116237	201611_s_at
HMG20B	ENSG00000064961	210719_s_at
FAM57A	ENSG00000167695	218898_at
RNPS1	ENSG00000205937	200060_s_at
IKBKE	ENSG00000143466	204549_at
ABL1	ENSG00000097007	202123_s_at
STK10	ENSG00000072786	203047_at
SLC35F2	ENSG00000110660	218826_at
PSMD10	ENSG00000101843	219485_s_at
CCND3	ENSG00000112576	201700_at
CAB39	ENSG00000135932	217873_at
BAD	ENSG00000002330	209364_at
